Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
2030-06-27 09:15:00,4241.307018236401,0.0,-10666.741194414763,14908.048212651163
2030-06-27 09:30:00,4395.38406622828,0.0,-10611.413373514553,15006.797439742833
2030-06-27 09:45:00,4545.832596954815,0.0,-10400.963525588699,14946.796122543514
2030-06-27 10:00:00,4659.713319572863,0.0,-10234.331096161844,14894.044415734708
2030-06-27 10:15:00,4777.682779515522,0.0,-10209.861027834577,14987.543807350099
2030-06-27 10:30:00,4882.587577778427,0.0,-10235.45649081883,15118.044068597257
2030-06-27 10:45:00,5002.444918825821,0.0,-10154.098641183627,15156.54356000945
2030-06-27 11:00:00,5196.999676046882,0.0,-10125.29310011306,15322.292776159942
2030-06-27 11:15:00,5283.035412922408,0.0,-10163.00716998065,15446.042582903057
2030-06-27 11:30:00,5351.81403430008,0.0,-9950.478227237085,15302.292261537164
2030-06-27 11:45:00,5367.61711596155,0.0,-9823.67490258983,15191.29201855138
2030-06-27 12:00:00,5520.825011889964,0.0,-9536.466760009946,15057.291771899909
2030-06-27 12:15:00,5506.157201895022,0.0,-9360.384031622209,14866.54123351723
2030-06-27 12:30:00,5608.840455608907,0.0,-9298.70021895459,14907.540674563497
2030-06-27 12:45:00,5704.803386834454,0.0,-9237.486977729011,14942.290364563465
2030-06-27 13:00:00,5770.974276711563,0.0,-9098.565634487797,14869.539911199361
2030-06-27 13:15:00,5804.225968859185,0.0,-9047.31384754644,14851.539816405624
2030-06-27 13:30:00,5891.67264855431,0.0,-8884.616698826088,14776.2893473804
2030-06-27 13:45:00,5720.740315145623,0.0,-8852.799302117157,14573.53961726278
2030-06-27 14:00:00,5715.940147789221,0.0,-8869.599126474906,14585.539274264127
2030-06-27 14:15:00,5761.541977003241,0.0,-8844.246822215591,14605.788799218833
2030-06-27 14:30:00,5666.801859766001,0.0,-8858.986597676074,14525.788457442075
2030-06-27 14:45:00,5650.290952445846,0.0,-8835.497984519321,14485.788936965168
